MaMDID,ThreeGroup,FourGroup,Ancestry,GeoOrigin,RegNation,Fregion,Population,ANS,INA,IOB,MT,NAS,NAW,NBC,NBS,NFS,NO,OBS,PBD,PS,PZT,SPS,TPS,ZS
223,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,2,1,2,1,2,1,1,1,0,,0,2,,1
224,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,3,2,1,1,2,1,1,1,,1,0,,0,0,1,1
225,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,2,2,2,2,0,2,1,,2,1,,1,0,1,0
226,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,0,2,1,,2,0,,1,0,2,0
227,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,4,2,1,1,2,1,2,2,1,1,0,,2,2,1,0
228,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,2,1,1,2,0,2,1,1,1,0,,1,2,2,0
229,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,4,2,1,1,2,1,2,1,1,1,0,,1,2,1,1
230,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,3,2,1,1,2,1,2,2,,1,0,,0,2,1,0
231,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,2,2,0,2,2,1,1,0,,0,2,1,0
232,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,2,,,,0,1,4,,2,0,,0,0,,
233,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,3,2,2,3,2,0,1,2,0,2,0,,2,0,2,0
234,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,3,2,0,3,2,0,2,3,,3,0,,0,0,1,0
235,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,3,2,1,1,2,0,2,1,,2,0,,1,0,2,2
236,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,4,2,1,1,,0,,1,,2,0,,1,0,,2
237,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,3,2,1,1,2,0,2,2,1,2,0,,1,2,2,2
238,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,2,2,2,1,2,0,2,2,,1,0,,2,2,1,1
239,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,3,2,1,1,3,3,2,2,0,2,0,,1,0,2,0
251,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,,,,,,,3,,,,,,2,,
252,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,2,1,2,4,2,3,1,1,1,,1,2,2,0
253,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,2,1,3,2,1,2,1,0,2,0,,3,0,1,0
254,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,2,1,3,2,1,2,1,0,2,0,,2,0,4,0
255,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,2,2,1,1,2,1,2,1,0,2,0,,2,0,1,0
256,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,3,2,1,3,2,0,2,2,1,1,0,,1,2,2,0
257,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,1,2,0,3,2,0,2,2,0,2,0,,1,0,1,0
258,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,1,3,1,3,2,0,2,3,1,2,0,,1,0,1,0
259,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,3,2,2,2,3,2,1,2,2,1,2,1,,2,0,1,0
260,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,1,1,,,0,2,4,1,3,,,1,0,,0
261,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,2,3,2,1,3,0,,1,2,1,0
262,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,0,2,4,1,1,0,,0,2,2,0
263,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,2,2,2,0,2,3,1,2,0,,1,2,2,0
264,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,2,2,1,2,2,0,2,0,,0,0,2,0
265,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,1,1,1,2,0,2,1,0,3,0,,1,2,1,0
266,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,2,1,1,2,1,2,4,1,2,0,,1,2,1,0
267,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,2,1,2,0,2,1,1,3,0,,1,0,1,0
268,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,,,,,,,,,,0,,,,,
269,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,,,,,1,2,1,,,0,,,2,,
270,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,3,3,2,1,1,2,0,,2,,1,0,,0,2,2,0
271,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,,1,1,2,0,2,,1,1,0,,1,2,2,0
272,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,1,1,1,2,1,1,0,,1,0,1,0
273,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,,,,1,,,0,,1,0,1,0
274,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,2,2,0,1,2,1,2,1,1,2,0,,2,2,2,0
275,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,2,2,2,2,2,,,3,,2,0,,1,0,2,2
276,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,4,2,,,,1,2,4,,,0,,,0,1,
277,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,1,2,0,1,1,1,2,1,,2,0,,1,0,2,0
278,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,3,3,3,1,2,4,2,,1,1,0,,1,2,4,0
279,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,1,,,1,,,,,,,0,,1,2,,
280,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,4,,1,,,,2,,1,1,1,,0,2,,0
281,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,3,,0,,,,,2,,,0,,1,2,,0
282,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,0,2,2,0,2,0,,1,0,2,0
283,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,2,,1,,,,,2,,2,0,,1,2,1,0
284,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,2,,1,1,,,,,,,0,,1,,,0
285,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,0,2,1,0,2,0,,2,0,2,0
286,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,2,1,1,2,0,2,1,0,2,0,,1,0,2,0
287,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,2,3,2,1,2,,,,,2,0,,1,,1,0
288,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,2,2,1,2,0,1,2,,1,0,,1,2,3,0
289,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,0,2,2,0,1,0,,1,1,2,0
290,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,1,2,1,1,2,0,2,1,,1,0,,1,0,3,0
291,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,0,2,2,1,1,0,,1,2,1,0
292,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,4,2,1,,1,0,,1,0,,0
